area_id,state_ut,district,locality,crime_risk_index,accident_risk_index,road_condition_score,sanitation_hygiene_score,public_review_score,emergency_access_score,environment_score,infrastructure_score,tourist_facilities_score,tourist_safety_score,tourist_friendliness_score,data_status,real_data_sources,score_method,data_year,requested_region_quota
IN-00001,Odisha,Angul,Angul Heritage Area 0001,41.0,61.53,49.64,36.36,15.43,46.91,75.77,33.68,43.94,44.22,41.9,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00002,Odisha,Balangir,Balangir Nature Area 0002,70.86,37.7,78.31,71.35,77.87,33.64,61.87,37.56,85.98,57.22,61.74,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00003,Odisha,Balasore,Balasore Tourist Zone 0003,19.01,46.89,36.72,30.66,94.1,93.41,40.51,30.43,48.19,63.8,56.61,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00004,Odisha,Bargarh,Bargarh Heritage Area 0004,41.65,54.82,43.23,52.54,93.71,70.71,68.77,56.82,70.48,60.3,63.12,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00005,Odisha,Bhadrak,Bhadrak Tourist Zone 0005,69.29,71.31,80.22,46.62,38.52,31.38,44.5,47.75,65.6,42.15,47.7,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00006,Odisha,Boudh,Boudh Transit Corridor 0006,52.89,54.46,67.15,81.46,87.93,67.15,89.03,63.2,57.22,65.26,73.73,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00007,Odisha,Cuttack,Cuttack Heritage Area 0007,41.03,76.87,73.69,57.94,84.89,25.32,66.38,72.01,47.73,56.54,62.98,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00008,Odisha,Deogarh,Deogarh Hill Area 0008,73.98,55.5,55.94,75.74,46.45,56.34,80.25,60.22,62.86,49.54,58.79,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00009,Odisha,Dhenkanal,Dhenkanal Tourist Zone 0009,36.64,75.76,71.34,53.33,75.65,50.54,56.5,38.91,58.84,57.4,58.99,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00010,Odisha,Gajapati,Gajapati Hill Area 0010,27.03,37.47,67.72,72.6,84.07,57.88,87.43,59.62,54.81,71.44,72.01,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00011,Odisha,Ganjam,Ganjam Rural Area 0011,55.16,62.77,66.06,56.9,57.56,28.25,64.18,47.19,53.91,49.91,53.52,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
